0.00000,0.0000000000, Phase 1 (us): 19704.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8804
0.00000,0.0000000000, Phase 1 (us): 19724.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0918Switching Freq (Hz): 10.8921
0.00000,0.0000000000, Phase 1 (us): 19860.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8762
0.00000,0.0000000000, Phase 1 (us): 19842.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0920Switching Freq (Hz): 10.8724
0.00000,0.0000000000, Phase 1 (us): 19814.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8842
0.00000,0.0000000000, Phase 1 (us): 19864.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0920Switching Freq (Hz): 10.8693
0.00000,0.0000000000, Phase 1 (us): 19792.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8816
0.00000,0.0000000000, Phase 1 (us): 19820.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8795
0.00000,0.0000000000, Phase 1 (us): 19852.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8823
0.00000,0.0000000000, Phase 1 (us): 19930.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0920Switching Freq (Hz): 10.8672
0.00000,0.0000000000, Phase 1 (us): 19860.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0920Switching Freq (Hz): 10.8748
0.00000,0.0000000000, Phase 1 (us): 19808.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8828
0.00000,0.0000000000, Phase 1 (us): 19880.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0920Switching Freq (Hz): 10.8681
0.00000,0.0000000000, Phase 1 (us): 19844.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8802
0.00000,0.0000000000, Phase 1 (us): 19784.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8861
0.00000,0.0000000000, Phase 1 (us): 19876.0000, Phase 2 (us): 20010.0000, Total Time (sec): 0.0919Switching Freq (Hz): 10.8757
