Time(us), Temperature(C), Vth(nmos), Vth(pmos)
6775002,25.38,1.6424,0.5849
6862002,25.38,1.6424,0.5850
6949002,25.38,1.6424,0.5849
7037002,25.38,1.6424,0.5849
7125002,25.38,1.6424,0.5849
7214002,25.38,1.6424,0.5849
7303002,25.38,1.6424,0.5850
7392002,25.38,1.6424,0.5849
7481002,25.38,1.6424,0.5849
7570002,25.38,1.6424,0.5849
7659002,25.38,1.6424,0.5849
7748002,25.38,1.6424,0.5849
7837002,25.38,1.6424,0.5849
7925002,25.38,1.6424,0.5849
8013002,25.38,1.6424,0.5849
8102002,25.38,1.6424,0.5849
8191003,25.38,1.6424,0.5849
8280002,25.38,1.6424,0.5849
8368002,25.38,1.6424,0.5849
8457002,25.38,1.6424,0.5849
8545002,25.38,1.6424,0.5849
8633002,25.38,1.6424,0.5849
8722002,25.38,1.6424,0.5849
8811002,25.38,1.6424,0.5849
8900002,25.38,1.6424,0.5849
8989002,25.38,1.6424,0.5849
9078002,25.38,1.6423,0.5849
9167002,25.38,1.6423,0.5849
9256002,25.38,1.6423,0.5849
9344002,25.37,1.6423,0.5849
9433002,25.37,1.6423,0.5849
9522003,25.37,1.6423,0.5849
9611002,25.37,1.6423,0.5849
9700002,25.37,1.6423,0.5849
9789002,25.37,1.6423,0.5849
9878002,25.37,1.6423,0.5849
9966002,25.37,1.6423,0.5849
10055002,25.37,1.6423,0.5849
10143002,25.37,1.6423,0.5849
10232002,25.37,1.6423,0.5849
10321002,25.37,1.6423,0.5848
10410002,25.37,1.6423,0.5849
10498002,25.37,1.6422,0.5848
10586002,25.37,1.6422,0.5848
10675002,25.37,1.6422,0.5848
10764002,25.37,1.6422,0.5848
10853002,25.37,1.6422,0.5848
10941002,25.37,1.6422,0.5848
11030002,25.37,1.6422,0.5848
11118002,25.37,1.6422,0.5848
11207002,25.37,1.6422,0.5848
11296002,25.37,1.6422,0.5848
11385002,25.37,1.6422,0.5848
11473002,25.37,1.6422,0.5848
11561002,25.37,1.6422,0.5848
11650002,25.37,1.6422,0.5848
11739002,25.37,1.6422,0.5848
11828002,25.37,1.6422,0.5848
11917002,25.37,1.6422,0.5848
12005002,25.37,1.6422,0.5848
12094002,25.37,1.6422,0.5848
12183002,25.37,1.6422,0.5848
12272002,25.37,1.6422,0.5848
12361003,25.37,1.6422,0.5848
12449002,25.37,1.6421,0.5848
12537002,25.37,1.6421,0.5848
12626002,25.37,1.6421,0.5848
12715002,25.37,1.6421,0.5848
12804002,25.37,1.6421,0.5848
12893002,25.37,1.6421,0.5848
12982002,25.37,1.6421,0.5848
13071002,25.36,1.6421,0.5848
13160002,25.36,1.6421,0.5847
13249002,25.37,1.6421,0.5847
13337002,25.36,1.6421,0.5847
13426002,25.37,1.6421,0.5847
13514002,25.36,1.6421,0.5847
13602002,25.36,1.6421,0.5847
13690002,25.36,1.6421,0.5847
13779002,25.36,1.6421,0.5847
13867002,25.36,1.6421,0.5847
13955002,25.36,1.6421,0.5847
14044002,25.36,1.6421,0.5847
14133002,25.36,1.6421,0.5847
14222002,25.36,1.6421,0.5847
14311002,25.36,1.6421,0.5848
14400002,25.36,1.6421,0.5847
14489002,25.36,1.6421,0.5848
14578002,25.36,1.6421,0.5847
14667002,25.36,1.6421,0.5847
14756002,25.36,1.6421,0.5847
14845002,25.36,1.6421,0.5847
14934002,25.36,1.6421,0.5847
15023002,25.36,1.6421,0.5847
15112002,25.36,1.6421,0.5847
15200002,25.36,1.6421,0.5847
15288002,25.36,1.6421,0.5847
15376002,25.36,1.6421,0.5847
15464002,25.36,1.6421,0.5847
15553002,25.36,1.6420,0.5847
15642002,25.36,1.6420,0.5847
15730002,25.36,1.6420,0.5847
15819003,25.36,1.6420,0.5847
15907002,25.36,1.6420,0.5847
15996002,25.36,1.6420,0.5847
16085002,25.36,1.6420,0.5847
16173002,25.36,1.6420,0.5847
16261002,25.36,1.6420,0.5847
16349002,25.36,1.6420,0.5847
16437002,25.36,1.6420,0.5847
16525002,25.36,1.6420,0.5847
16613003,25.36,1.6420,0.5847
16700003,25.36,1.6420,0.5847
16787002,25.36,1.6420,0.5847
16874002,25.36,1.6420,0.5847
16961002,25.36,1.6420,0.5847
17048002,25.36,1.6420,0.5847
17137003,25.36,1.6420,0.5847
17226002,25.36,1.6420,0.5847
17315002,25.36,1.6420,0.5847
17403002,25.36,1.6420,0.5847
